time,price,volume
1748227500.0,3333.31,32.25
1748227509.0,3333.35,32.25
1748227518.0,3333.41,32.25
1748227527.0,3333.46,32.25
1748227536.0,3333.48,32.25
1748227545.0,3333.53,32.25
1748227554.0,3333.59,32.25
1748227563.0,3333.63,32.25
1748227572.0,3333.68,32.25
1748227581.0,3333.72,32.25
1748227590.0,3333.79,32.25
1748227599.0,3333.83,32.25
1748227608.0,3333.87,32.25
1748227617.0,3333.93,32.25
1748227626.0,3333.97,32.25
1748227635.0,3334.0,32.25
1748227644.0,3334.06,32.25
1748227653.0,3334.1,32.25
1748227662.0,3334.16,32.25
1748227671.0,3334.2,32.25
1748227680.0,3334.24,32.25
1748227689.0,3334.29,32.25
1748227698.0,3334.35,32.25
1748227707.0,3334.38,32.25
1748227716.0,3334.43,32.25
1748227725.0,3334.48,32.25
1748227734.0,3334.53,32.25
1748227743.0,3334.58,32.25
1748227752.0,3334.62,32.25
1748227761.0,3334.67,32.25
1748227770.0,3334.73,32.25
1748227779.0,3334.76,32.25
1748227788.0,3334.8,32.25
1748227797.0,3334.85,32.25
1748227806.0,3334.91,32.25
1748227815.0,3334.96,32.25
1748227824.0,3334.99,32.25
1748227833.0,3335.03,32.25
1748227842.0,3335.08,32.25
1748227851.0,3335.14,32.25
1748227860.0,3335.19,32.25
1748227869.0,3335.23,32.25
1748227878.0,3335.27,32.25
1748227887.0,3335.32,32.25
1748227896.0,3335.37,32.25
1748227905.0,3335.42,32.25
1748227914.0,3335.47,32.25
1748227923.0,3335.51,32.25
1748227932.0,3335.56,32.25
1748227941.0,3335.6,32.25
1748227950.0,3335.65,32.25
1748227959.0,3335.7,32.25
1748227968.0,3335.73,32.25
1748227977.0,3335.79,32.25
1748227986.0,3335.83,32.25
1748227995.0,3335.88,32.25
1748228004.0,3335.93,32.25
1748228013.0,3335.99,32.25
1748228022.0,3336.01,32.25
1748228031.0,3336.08,32.25
1748228040.0,3336.1,32.25
1748228049.0,3336.16,32.25
1748228058.0,3336.21,32.25
1748228067.0,3336.26,32.25
1748228076.0,3336.31,32.25
1748228085.0,3336.36,32.25
1748228094.0,3336.39,32.25
1748228103.0,3336.44,32.25
1748228112.0,3336.5,32.25
1748228121.0,3336.54,32.25
1748228130.0,3336.57,32.25
1748228139.0,3336.62,32.25
1748228148.0,3336.67,32.25
1748228157.0,3336.73,32.25
1748228166.0,3336.77,32.25
1748228175.0,3336.82,32.25
1748228184.0,3336.86,32.25
1748228193.0,3336.91,32.25
1748228202.0,3336.96,32.25
1748228211.0,3337.0,32.25
1748228220.0,3337.06,32.25
1748228229.0,3337.09,32.25
1748228238.0,3337.14,32.25
1748228247.0,3337.19,32.25
1748228256.0,3337.23,32.25
1748228265.0,3337.29,32.25
1748228274.0,3337.33,32.25
1748228283.0,3337.38,32.25
1748228292.0,3337.43,32.25
1748228301.0,3337.48,32.25
1748228310.0,3337.53,32.25
1748228319.0,3337.56,32.25
1748228328.0,3337.61,32.25
1748228337.0,3337.66,32.25
1748228346.0,3337.69,32.25
1748228355.0,3337.74,32.25
1748228364.0,3337.79,32.25
1748228373.0,3337.84,32.25
1748228382.0,3337.9,32.25
1748228391.0,3337.93,32.25
1748228400.0,3339.72,36.14
1748228409.0,3339.67,36.14
1748228418.0,3339.59,36.14
1748228427.0,3339.54,36.14
1748228436.0,3339.46,36.14
1748228445.0,3339.41,36.14
1748228454.0,3339.34,36.14
1748228463.0,3339.28,36.14
1748228472.0,3339.23,36.14
1748228481.0,3339.14,36.14
1748228490.0,3339.1,36.14
1748228499.0,3339.03,36.14
1748228508.0,3338.96,36.14
1748228517.0,3338.89,36.14
1748228526.0,3338.85,36.14
1748228535.0,3338.78,36.14
1748228544.0,3338.72,36.14
1748228553.0,3338.66,36.14
1748228562.0,3338.61,36.14
1748228571.0,3338.53,36.14
1748228580.0,3338.46,36.14
1748228589.0,3338.41,36.14
1748228598.0,3338.35,36.14
1748228607.0,3338.3,36.14
1748228616.0,3338.23,36.14
1748228625.0,3338.16,36.14
1748228634.0,3338.11,36.14
1748228643.0,3338.02,36.14
1748228652.0,3337.96,36.14
1748228661.0,3337.9,36.14
1748228670.0,3337.84,36.14
1748228679.0,3337.77,36.14
1748228688.0,3337.73,36.14
1748228697.0,3337.65,36.14
1748228706.0,3337.58,36.14
1748228715.0,3337.52,36.14
1748228724.0,3337.47,36.14
1748228733.0,3337.41,36.14
1748228742.0,3337.36,36.14
1748228751.0,3337.31,36.14
1748228760.0,3337.22,36.14
1748228769.0,3337.15,36.14
1748228778.0,3337.07,36.14
1748228787.0,3337.03,36.14
1748228796.0,3336.96,36.14
1748228805.0,3336.9,36.14
1748228814.0,3336.84,36.14
1748228823.0,3336.78,36.14
1748228832.0,3336.73,36.14
1748228841.0,3336.66,36.14
1748228850.0,3336.59,36.14
1748228859.0,3336.52,36.14
1748228868.0,3336.45,36.14
1748228877.0,3336.4,36.14
1748228886.0,3336.34,36.14
1748228895.0,3336.3,36.14
1748228904.0,3336.22,36.14
1748228913.0,3336.17,36.14
1748228922.0,3336.09,36.14
1748228931.0,3336.02,36.14
1748228940.0,3335.96,36.14
1748228949.0,3335.9,36.14
1748228958.0,3335.86,36.14
1748228967.0,3335.77,36.14
1748228976.0,3335.73,36.14
1748228985.0,3335.65,36.14
1748228994.0,3335.6,36.14
1748229003.0,3335.53,36.14
1748229012.0,3335.47,36.14
1748229021.0,3335.41,36.14
1748229030.0,3335.34,36.14
1748229039.0,3335.29,36.14
1748229048.0,3335.21,36.14
1748229057.0,3335.14,36.14
1748229066.0,3335.08,36.14
1748229075.0,3335.03,36.14
1748229084.0,3334.98,36.14
1748229093.0,3334.91,36.14
1748229102.0,3334.84,36.14
1748229111.0,3334.78,36.14
1748229120.0,3334.73,36.14
1748229129.0,3334.66,36.14
1748229138.0,3334.59,36.14
1748229147.0,3334.54,36.14
1748229156.0,3334.47,36.14
1748229165.0,3334.42,36.14
1748229174.0,3334.34,36.14
1748229183.0,3334.27,36.14
1748229192.0,3334.2,36.14
1748229201.0,3334.17,36.14
1748229210.0,3334.11,36.14
1748229219.0,3334.03,36.14
1748229228.0,3333.96,36.14
1748229237.0,3333.92,36.14
1748229246.0,3333.83,36.14
1748229255.0,3333.77,36.14
