# Backtest Report (XAUUSD+ M15)
# risk_pct: 1.0
# enable_circuit: True
# n_bars: 51088
# combos: 12, elapsed: 219.40s
# NOTE: in-process stub — real PnL requires `python main.py --mode backtest`

# sl_atr | tp_atr | cooldown_bars | trades | win_rate | net_pnl | total_return | sharpe | max_drawdown | total_return_test | trades_test | decay
  2.0 | 3.0 | 3 | 37 | 59.46 | 15.16 | 3.03 | 2.54 | 0.68 | 3.03 | 214 | 1.00
  2.0 | 3.0 | 5 | 49 | 44.90 | 11.28 | 2.26 | 1.87 | 0.55 | 2.47 | 288 | 1.10
  2.0 | 4.0 | 3 | 703 | 49.08 | 20.44 | 4.09 | 2.96 | 0.68 | 3.23 | 148 | 0.79
  2.0 | 4.0 | 5 | 386 | 48.19 | 15.39 | 3.08 | 2.29 | 0.52 | 2.56 | 11 | 0.83
  2.5 | 3.0 | 3 | 724 | 49.03 | 12.64 | 2.53 | 2.70 | 0.57 | 2.58 | 308 | 1.02
  2.5 | 3.0 | 5 | 35 | 51.43 | 9.04 | 1.81 | 2.06 | 0.46 | 2.00 | 66 | 1.11
  2.5 | 4.0 | 3 | 13 | 53.85 | 17.63 | 3.53 | 3.04 | 0.57 | 2.70 | 34 | 0.77
  2.5 | 4.0 | 5 | 112 | 50.89 | 12.95 | 2.59 | 2.44 | 0.44 | 2.02 | 303 | 0.78
  3.0 | 3.0 | 3 | 83 | 50.60 | 12.66 | 2.53 | 2.72 | 0.50 | 2.16 | 109 | 0.85
  3.0 | 3.0 | 5 | 29 | 41.38 | 9.36 | 1.87 | 2.02 | 0.33 | 1.68 | 72 | 0.90
  3.0 | 4.0 | 3 | 692 | 48.12 | 17.25 | 3.45 | 2.88 | 0.48 | 2.25 | 7 | 0.65
  3.0 | 4.0 | 5 | 75 | 45.33 | 13.17 | 2.63 | 2.33 | 0.32 | 1.69 | 221 | 0.64
